"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Переходы на страницы","1","0","Переход на страницу оформления заказа с главной страницы","0"
"0","","0","Вопросы и ответы","8","0","Проверка отображения ответов на вопросы","0"
"0","","0","Формы заказа","2","0","Заполнение всех форм","0"
"0","","0","Формы заказа","2","0","Создание заказа","0"
"0","","0","Переходы на страницы","1","0","Переход на главную страницу «Самоката»","0"
"0","","0","Формы заказа","2","0","Заполнение первой формы","0"
"0","","0","Переходы на страницы","1","0","Переход на страницу оформления заказа из хедера","0"
"0","","0","Переходы на внешние сайты","1","0","Переход на главную страницу Дзена","0"
